order_id,customer_id,order_date,product_category,quantity,price,revenue,channel,country
O019810,C0500,2023-12-04,Fashion,3,82.48,247.44,Instagram,France
O013148,C0143,2023-11-08,Sports,1,26.86,26.86,Organic Search,UK
O013182,C0137,2023-11-12,Fashion,1,108.28,108.28,Email,USA
O000931,C0414,2023-05-19,Beauty,1,61.78,61.78,Google Ads,France
O024306,C0279,2024-07-21,Electronics,1,138.7,138.7,Google Ads,USA
O006166,C0549,2023-10-13,Electronics,5,144.67,723.35,Google Ads,USA
O003626,C0603,2023-01-17,Home & Garden,1,47.53,47.53,Instagram,Canada
O027096,C0081,2023-08-13,Beauty,3,86.12,258.36,Email,Canada
O030535,C0044,2024-01-17,Beauty,1,38.92,38.92,Email,Canada
O026669,C0249,2024-09-11,Sports,1,73.94,73.94,Email,UK
O007135,C0126,2023-11-29,Electronics,5,131.45,657.25,Google Ads,USA
O000155,C0031,2024-01-01,Electronics,5,104.53,,Email,USA
O030875,C0027,2024-01-21,Beauty,2,110.62,221.24,Google Ads,USA
O021489,C0259,2023-02-13,Fashion,2,104.38,208.76,Direct,USA
O031256,C0105,2024-02-13,Electronics,1,154.3,154.3,Referral,USA
O025577,C0337,2024-03-07,Beauty,1,58.78,58.78,Instagram,UK
O007292,C0587,2024-03-27,Electronics,2,135.94,271.88,Email,USA
O012797,C0280,2023-08-12,Home & Garden,2,46.94,93.88,Email,USA
O013367,C0177,2024-10-19,Home & Garden,1,40.08,40.08,Email,Germany
O030132,C0603,2023-06-05,Beauty,1,79.52,79.52,Direct,Australia
O033280,C0552,2023-07-27,Beauty,1,98.21,98.21,Google Ads,Germany
O012876,C0166,2024-04-01,Fashion,1,33.68,33.68,Organic Search,USA
O017421,C0342,2023-07-04,Books,4,35.12,140.48,Organic Search,USA
O017601,C0005,2024-11-23,Electronics,2,234.99,469.98,Organic Search,USA
O025701,C0082,2024-08-08,Home & Garden,3,141.15,423.45,Direct,UK
O026000,C0003,2023-09-02,Beauty,1,71.08,71.08,Organic Search,Australia
O030674,C0011,2023-01-11,Fashion,1,153.01,153.01,Organic Search,UK
O009492,C0696,2023-06-04,Home & Garden,3,41.55,124.65,Google Ads,USA
O008449,C0604,2023-11-21,Fashion,1,144.76,144.76,Organic Search,USA
O019576,C0025,2023-05-13,Home & Garden,1,206.43,206.43,Email,USA
O004018,C0050,2024-02-25,Electronics,3,240.7,722.1,Email,UK
O005564,C0166,2024-10-16,Books,2,31.14,62.28,Email,UK
O015765,C0261,2024-03-10,Electronics,1,131.27,131.27,Google Ads,Canada
O026786,C0318,2024-02-18,Sports,1,71.12,71.12,Organic Search,Canada
O016085,C0048,2023-08-03,Sports,3,150.03,450.09,Organic Search,Germany
O020544,C0045,2023-06-13,Sports,1,56.28,56.28,Facebook,France
O031452,C0062,2023-07-30,Fashion,1,176.88,176.88,Email,USA
O028840,C0313,2024-10-07,Home & Garden,2,67.98,135.96,Organic Search,UK
O028804,C0080,2023-09-12,Beauty,3,75.94,227.82,Organic Search,Australia
O023918,C0091,2023-11-05,Books,2,37.57,75.14,Instagram,USA
O006231,C0243,2024-11-30,Home & Garden,3,117.79,353.37,Facebook,USA
O000179,C0035,2024-04-24,Beauty,4,120.59,482.36,Instagram,UK
O028689,C0033,2023-03-05,Beauty,3,49.31,147.93,Organic Search,Canada
O007267,C0193,2024-03-02,Sports,1,114.69,114.69,Organic Search,UK
O031801,C0784,2023-12-27,Books,4,25.97,103.88,Instagram,USA
O014736,C0303,2024-01-02,Fashion,2,117.5,235.0,Google Ads,USA
O032765,C0107,2023-07-03,Electronics,5,99.88,499.4,Organic Search,Canada
O005266,C0236,2023-05-10,Books,2,34.59,69.18,Google Ads,USA
O008932,C0533,2023-12-17,Beauty,1,38.42,,Organic Search,USA
O025406,C0095,2023-06-04,Fashion,2,50.15,100.3,Google Ads,Canada
O021327,C0044,2023-04-04,Books,1,48.93,48.93,Organic Search,USA
O012299,C0130,2024-10-16,Home & Garden,2,49.5,99.0,Email,Australia
O021990,C0575,2024-06-08,Electronics,1,124.25,124.25,Google Ads,Australia
O007172,C0127,2023-04-30,Fashion,2,89.25,178.5,Email,USA
O013581,C0096,2024-04-19,Electronics,4,126.86,507.44,Email,UK
O010848,C0083,2024-01-04,Home & Garden,5,119.46,597.3,Email,USA
O031702,C0326,2023-09-20,Home & Garden,1,71.26,71.26,Email,USA
O022437,C0661,2023-01-17,Electronics,1,92.36,92.36,Referral,France
O020490,C0416,2023-06-08,Fashion,3,105.66,316.98,Google Ads,Australia
O033270,C0025,2024-05-22,Home & Garden,1,70.02,70.02,Organic Search,Germany
O033261,C0555,2023-03-11,Electronics,1,87.98,87.98,Google Ads,USA
O017751,C0565,2024-09-05,Fashion,1,163.78,163.78,Organic Search,USA
O008271,C0260,2023-09-28,Home & Garden,1,65.2,65.2,Organic Search,USA
O013193,C0176,2024-02-19,Electronics,3,199.17,597.51,Organic Search,USA
O006991,C0015,2024-07-04,Toys,1,113.28,113.28,Referral,USA
O000637,C0243,2024-11-08,Home & Garden,3,117.79,353.37,Facebook,USA
O021056,C0076,2024-07-04,Home & Garden,2,95.86,191.72,Email,Canada
O029626,C0130,2023-11-09,Fashion,1,160.28,160.28,Google Ads,France
O022986,C0313,2023-05-20,Electronics,1,91.58,91.58,Google Ads,UK
O007380,C0102,2023-08-05,Sports,2,105.55,211.1,Organic Search,UK
O032417,C0582,2023-07-01,Beauty,2,92.63,185.26,Google Ads,USA
O027121,C0006,2023-04-10,Fashion,5,53.65,268.25,Organic Search,France
O030846,C0028,2024-05-14,Fashion,1,148.92,148.92,Google Ads,USA
O018794,C0030,2023-05-13,Beauty,1,37.1,37.1,Instagram,Canada
O008499,C0027,2024-02-14,Beauty,2,110.62,221.24,Google Ads,USA
O033384,C0272,2023-03-19,Toys,4,35.56,142.24,Google Ads,USA
O022333,C0029,2023-06-02,Home & Garden,2,83.19,166.38,Organic Search,UK
O023984,C0013,2023-02-08,Toys,1,154.39,154.39,Google Ads,Germany
O022568,C0152,2024-05-23,Fashion,5,65.5,327.5,Organic Search,Canada
O018067,C0776,2023-02-05,Fashion,1,33.61,33.61,Facebook,USA
O029803,C0088,2023-07-04,Beauty,3,106.31,318.93,Instagram,USA
O032381,C0089,2024-02-23,Electronics,1,108.11,108.11,Facebook,UK
O015960,C0653,2023-09-16,Beauty,1,51.21,51.21,Direct,USA
O008228,C0616,2024-07-01,Beauty,2,37.09,74.18,Google Ads,Australia
O010167,C0623,2023-05-24,Fashion,3,92.81,278.43,Organic Search,USA
O025465,C0234,2023-12-09,Fashion,2,57.41,114.82,Referral,France
O000169,C0624,2023-01-04,Electronics,2,76.0,152.0,Google Ads,USA
O006487,C0247,2023-11-28,Books,5,20.8,104.0,Organic Search,USA
O030005,C0321,2023-09-01,Electronics,1,104.76,104.76,Email,USA
O008159,C0044,2024-02-10,Beauty,1,38.92,38.92,Email,Canada
O002548,C0292,2023-10-13,Beauty,2,92.83,185.66,Google Ads,USA
O008097,C0101,2024-09-06,Home & Garden,2,44.58,89.16,Google Ads,Canada
O010916,C0300,2024-08-26,Fashion,1,95.56,95.56,Organic Search,USA
O003475,C0155,2024-04-30,Beauty,1,91.05,91.05,Facebook,USA
O026593,C0145,2023-10-28,Electronics,1,88.89,88.89,Instagram,UK
O004974,C0280,2024-02-02,Home & Garden,2,121.09,242.18,Google Ads,USA
O032439,C0217,2024-09-02,Books,1,14.9,14.9,Organic Search,Canada
O021993,C0208,2023-05-17,Beauty,2,17.25,34.5,Instagram,Australia
O025351,C0740,2023-04-20,Beauty,3,25.32,75.96,Direct,USA
O016208,C0093,2023-12-13,Sports,4,222.87,891.48,Organic Search,UK
O000022,C0080,2023-01-09,Home & Garden,2,60.61,121.22,Google Ads,Canada
O021076,C0066,2024-06-03,Sports,3,181.44,544.32,Google Ads,Canada
O003614,C0198,2024-02-14,Electronics,1,161.95,161.95,Organic Search,USA
O001774,C0078,2024-05-21,Fashion,1,79.67,79.67,Direct,USA
O031601,C0588,2023-07-31,Fashion,2,170.79,341.58,Google Ads,UK
O006801,C0418,2024-12-28,Home & Garden,1,45.5,45.5,Email,USA
O015267,C0546,2024-03-24,Home & Garden,1,93.57,93.57,Organic Search,Canada
O020540,C0062,2023-12-22,Home & Garden,1,308.28,308.28,Email,USA
O001596,C0156,2024-06-11,Fashion,1,136.44,136.44,Google Ads,USA
O023083,C0728,2023-04-26,Toys,1,70.87,70.87,Email,USA
O021950,C0618,2023-10-27,Electronics,1,92.67,92.67,Organic Search,USA
O001912,C0561,2023-12-11,Electronics,1,136.06,136.06,Google Ads,Australia
O027753,C0029,2023-12-14,Toys,3,49.46,148.38,Direct,Canada
O003005,C0064,2024-07-28,Beauty,3,109.2,327.6,Instagram,Australia
O027610,C0309,2024-08-09,Home & Garden,4,42.09,168.36,Organic Search,Australia
O027823,C0161,2024-09-20,Home & Garden,1,107.02,107.02,Organic Search,USA
O024421,C0053,2024-03-15,Home & Garden,5,240.53,1202.65,Google Ads,USA
O031363,C0014,2024-06-27,Books,1,24.3,24.3,Email,UK
O002852,C0007,2023-04-17,Sports,1,151.75,151.75,Organic Search,UK
O009481,C0071,2023-03-09,Fashion,2,41.25,82.5,Google Ads,Germany
O007481,C0268,2023-03-28,Home & Garden,4,77.03,308.12,Instagram,Canada
O027875,C0152,2023-03-26,Toys,1,92.86,92.86,Direct,USA
O003248,C0194,2024-01-26,Home & Garden,3,110.77,332.31,Instagram,Canada
O012452,C0006,2023-12-11,Sports,1,216.46,216.46,Google Ads,USA
O006287,C0741,2023-11-03,Electronics,1,91.86,91.86,Email,Canada
O022423,C0093,2024-05-25,Fashion,4,209.97,839.88,Google Ads,UK
O020740,C0019,2023-12-05,Beauty,1,110.91,110.91,Organic Search,Australia
O026343,C0249,2023-02-18,Sports,1,70.69,70.69,Email,USA
O027419,C0236,2024-01-03,Toys,2,151.4,302.8,Google Ads,USA
O001153,C0091,2023-10-19,Home & Garden,1,64.38,64.38,Google Ads,UK
O003854,C0012,2024-11-02,Fashion,2,135.24,270.48,Organic Search,Germany
O024489,C0284,2023-05-05,Electronics,3,129.2,387.6,Organic Search,USA
O008630,C0221,2024-05-22,Books,2,50.28,100.56,Google Ads,USA
O009932,C0041,2024-10-26,Sports,1,218.72,218.72,Instagram,USA
O006153,C0279,2023-11-27,Electronics,1,132.97,132.97,Facebook,USA
O025263,C0024,2023-03-06,Beauty,4,108.41,433.64,Facebook,Canada
O021837,C0156,2023-09-28,Electronics,1,137.56,137.56,Google Ads,USA
O024689,C0057,2023-12-28,Beauty,1,16.09,16.09,Google Ads,UK
O013143,C0798,2023-08-02,Books,4,13.32,53.28,Instagram,USA
O006338,C0319,2024-07-13,Fashion,1,56.19,56.19,Instagram,Canada
O030333,C0167,2023-10-23,Home & Garden,2,128.62,257.24,Direct,Canada
O002542,C0309,2024-09-04,Fashion,1,57.58,57.58,Instagram,UK
O018594,C0053,2024-05-15,Books,1,36.85,36.85,Organic Search,Canada
O000460,C0380,2024-12-08,Fashion,1,32.43,32.43,Google Ads,USA
O012984,C0190,2023-03-10,Beauty,1,31.75,31.75,Organic Search,Canada
O015110,C0064,2024-10-13,Books,2,10.84,21.68,Organic Search,USA
O011332,C0640,2023-12-01,Home & Garden,1,53.21,53.21,Facebook,USA
O018031,C0029,2023-08-11,Toys,2,36.93,73.86,Google Ads,UK
O027035,C0106,2023-08-20,Electronics,1,198.75,198.75,Email,Australia
O009126,C0075,2023-10-23,Electronics,1,130.33,130.33,Google Ads,USA
O015801,C0122,2024-04-15,Fashion,1,29.93,29.93,Direct,Australia
O008178,C0021,2023-10-22,Fashion,1,89.61,89.61,Facebook,USA
O021755,C0236,2024-02-28,Beauty,1,80.12,80.12,Email,USA
O009024,C0064,2023-07-28,Beauty,2,48.53,97.06,Instagram,USA
O027294,C0164,2023-02-19,Electronics,1,175.01,175.01,Organic Search,USA
O026294,C0457,2024-04-03,Fashion,1,55.35,55.35,Instagram,UK
O020939,C0039,2024-01-24,Sports,1,251.14,251.14,Organic Search,USA
O014723,C0300,2023-02-02,Home & Garden,2,85.83,171.66,Google Ads,USA
O013884,C0027,2024-04-19,Electronics,1,133.47,133.47,Organic Search,France
O000541,C0012,2023-01-05,Electronics,1,227.8,227.8,Email,France
O024106,C0542,2023-06-11,Toys,3,31.93,95.79,Organic Search,Canada
O032195,C0138,2024-02-27,Fashion,3,94.3,282.9,Google Ads,USA
O029007,C0154,2023-10-24,Electronics,1,112.28,112.28,Organic Search,USA
O022548,C0064,2024-01-21,Fashion,1,150.96,150.96,Email,USA
O017925,C0163,2023-10-12,Beauty,2,106.55,213.1,Organic Search,Germany
O000626,C0122,2024-09-21,Sports,2,108.75,217.5,Google Ads,USA
O025645,C0092,2023-08-19,Fashion,1,168.21,168.21,Instagram,Canada
O000731,C0278,2023-07-01,Home & Garden,1,142.71,142.71,Facebook,France
O031660,C0496,2023-12-21,Home & Garden,1,160.37,160.37,Organic Search,USA
O016079,C0550,2023-09-23,Electronics,5,186.21,931.05,Google Ads,USA
O019739,C0187,2023-10-18,Fashion,4,98.07,392.28,Organic Search,USA
O022142,C0242,2023-01-06,Electronics,2,124.78,249.56,Google Ads,Australia
O002110,C0308,2024-09-25,Home & Garden,4,131.08,524.32,Google Ads,USA
O009112,C0029,2023-12-13,Fashion,1,189.54,189.54,Google Ads,USA
O022689,C0587,2023-07-07,Electronics,2,131.6,263.2,Referral,USA
O020091,C0521,2023-11-22,Home & Garden,3,166.91,500.73,Email,USA
O030716,C0035,2024-05-13,Beauty,2,23.31,46.62,Email,USA
O011626,C0031,2024-12-07,Home & Garden,1,225.11,225.11,Instagram,USA
O031664,C0604,2023-12-02,Beauty,1,69.21,69.21,Instagram,USA
O025842,C0087,2023-03-19,Sports,3,173.41,520.23,Email,USA
O012677,C0019,2023-05-07,Fashion,3,140.51,421.53,Email,USA
O012047,C0541,2024-04-13,Toys,5,63.88,319.4,Google Ads,France
O028320,C0525,2023-06-21,Electronics,2,141.41,282.82,Google Ads,USA
O023619,C0635,2023-06-30,Home & Garden,4,58.82,235.28,Google Ads,USA
O021927,C0079,2023-01-22,Electronics,5,86.67,433.35,Organic Search,Australia
O013337,C0236,2024-07-27,Fashion,1,80.54,80.54,Email,USA
O032979,C0639,2023-01-30,Fashion,1,59.13,59.13,Instagram,Canada
O029168,C0029,2024-10-23,Beauty,1,97.52,97.52,Facebook,USA
O028131,C0731,2023-02-26,Beauty,1,26.38,26.38,Email,USA
O001991,C0135,2024-09-30,Beauty,1,41.15,41.15,Email,USA
O023048,C0657,2024-03-21,Books,1,33.06,33.06,Facebook,UK
O005025,C0060,2023-08-18,Home & Garden,2,234.82,469.64,Google Ads,USA
O002327,C0319,2023-05-16,Fashion,3,44.56,133.68,Google Ads,USA
O003340,C0486,2024-12-15,Fashion,1,35.56,35.56,Instagram,Canada
O014861,C0119,2023-03-24,Home & Garden,1,46.99,46.99,Email,UK
O029754,C0791,2023-05-17,Home & Garden,1,38.56,38.56,Facebook,USA
O031456,C0587,2023-07-07,Toys,2,106.0,212.0,Direct,USA
O020829,C0005,2024-07-21,Electronics,2,147.42,294.84,Direct,UK
O012440,C0505,2023-03-13,Beauty,1,44.61,44.61,Direct,Australia
O031301,C0720,2023-01-20,Electronics,5,90.76,453.8,Facebook,USA
O025201,C0718,2023-04-28,Beauty,3,44.33,132.99,Email,USA
O032513,C0576,2024-02-06,Toys,2,77.14,154.28,Email,USA
O005832,C0094,2023-10-23,Home & Garden,1,82.61,82.61,Google Ads,France
O002085,C0087,2023-03-25,Home & Garden,3,102.32,306.96,Organic Search,USA
O027469,C0185,2023-10-17,Beauty,2,113.05,226.1,Referral,USA
O014129,C0039,2023-01-05,Sports,1,225.33,225.33,Organic Search,Canada
O007879,C0063,2023-05-20,Home & Garden,1,75.48,75.48,Organic Search,UK
O005932,C0669,2023-12-14,Fashion,1,58.62,58.62,Referral,Australia
O017625,C0054,2024-09-08,Electronics,3,344.21,1032.63,Organic Search,UK
O008947,C0687,2023-02-26,Fashion,2,62.15,124.3,Email,UK
O016786,C0135,2024-02-04,Electronics,1,93.62,93.62,Organic Search,UK
O012990,C0161,2024-11-26,Books,3,18.45,55.35,Referral,USA
O001324,C0007,2023-03-27,Electronics,1,379.55,379.55,Organic Search,USA
O030687,C0020,2023-07-26,Fashion,3,145.09,435.27,Google Ads,USA
O005857,C0052,2024-01-01,Fashion,1,180.52,180.52,Referral,UK
O026901,C0042,2024-11-06,Sports,1,157.24,157.24,Email,USA
O008290,C0027,2024-05-11,Electronics,1,133.47,133.47,Organic Search,France
O026311,C0487,2024-12-16,Electronics,1,78.02,78.02,Facebook,Canada
O015678,C0254,2023-12-25,Fashion,1,101.53,101.53,Instagram,USA
O011858,C0080,2023-11-03,Beauty,2,73.64,147.28,Email,USA
O017168,C0040,2023-06-12,Sports,2,245.09,490.18,Instagram,USA
O010680,C0630,2023-06-07,Books,1,8.82,8.82,Organic Search,UK
O013275,C0368,2023-09-28,Home & Garden,1,64.33,64.33,Organic Search,UK
O017262,C0053,2023-12-01,Sports,3,241.68,725.04,Organic Search,Germany
O008648,C0179,2023-05-14,Fashion,1,53.99,53.99,Direct,Germany
O004343,C0188,2024-05-13,Electronics,1,135.39,135.39,Google Ads,USA
O008547,C0457,2024-09-29,Beauty,1,107.15,107.15,Organic Search,USA
O012620,C0253,2023-04-10,Sports,3,87.22,261.66,Facebook,Germany
O012727,C0729,2023-06-08,Fashion,1,56.59,56.59,Google Ads,France
O022959,C0332,2024-01-12,Home & Garden,1,76.64,76.64,Google Ads,Australia
O027669,C0200,2024-11-13,Beauty,1,88.74,88.74,Direct,USA
O013772,C0021,2023-09-30,Fashion,1,89.61,89.61,Facebook,USA
O031270,C0366,2023-07-30,Electronics,2,84.6,169.2,Email,France
O015504,C0141,2023-02-06,Fashion,2,44.41,88.82,Email,Canada
O000043,C0001,2023-05-30,Sports,2,47.78,95.56,Instagram,USA
O006424,C0553,2024-08-12,Home & Garden,3,72.67,218.01,Google Ads,Australia
O004795,C0107,2023-07-05,Electronics,5,99.88,499.4,Organic Search,Canada
O002026,C0399,2024-12-12,Electronics,1,89.85,89.85,Organic Search,USA
O015453,C0040,2024-09-11,Sports,3,39.72,119.16,Google Ads,UK
O030332,C0066,2023-03-02,Books,1,22.98,22.98,Organic Search,Canada
O024853,C0167,2023-10-17,Toys,1,62.61,62.61,Facebook,Germany
O013810,C0131,2024-08-06,Home & Garden,1,154.82,154.82,Organic Search,UK
O029235,C0637,2023-04-28,Sports,2,38.77,77.54,Organic Search,USA
O026475,C0109,2024-07-27,Toys,2,83.77,167.54,Instagram,USA
O003181,C0278,2023-12-01,Electronics,1,95.62,95.62,Organic Search,Australia
O027738,C0092,2024-12-06,Fashion,3,137.61,412.83,Google Ads,USA
O011709,C0154,2023-05-18,Books,1,17.05,17.05,Organic Search,France
O013291,C0036,2024-05-26,Beauty,2,35.31,70.62,Facebook,Australia
O030434,C0153,2023-03-03,Fashion,1,192.59,192.59,Google Ads,Australia
O017728,C0429,2023-07-03,Home & Garden,2,48.69,97.38,Organic Search,USA
O010117,C0365,2024-05-23,Fashion,2,122.75,245.5,Instagram,France
O006402,C0166,2023-03-26,Home & Garden,1,158.78,158.78,Email,USA
O031908,C0153,2023-02-02,Home & Garden,1,134.67,134.67,Instagram,USA
O004252,C0359,2023-11-16,Electronics,1,77.78,77.78,Instagram,UK
O011582,C0450,2024-04-04,Fashion,2,118.38,236.76,Email,USA
O010560,C0193,2023-10-04,Electronics,2,99.83,199.66,Organic Search,Canada
O000024,C0580,2023-08-17,Home & Garden,3,73.86,221.58,Instagram,USA
O027400,C0052,2024-10-11,Sports,3,43.69,131.07,Organic Search,UK
O015770,C0331,2024-08-12,Sports,3,111.48,334.44,Email,Australia
O019684,C0603,2023-07-01,Home & Garden,2,103.91,207.82,Email,UK
O022728,C0149,2024-04-17,Beauty,1,34.07,34.07,Referral,USA
O012306,C0058,2024-11-21,Home & Garden,1,187.89,187.89,Referral,USA
O026829,C0504,2024-05-26,Fashion,3,157.57,472.71,Organic Search,Australia
O009054,C0593,2023-02-21,Home & Garden,3,113.92,341.76,Organic Search,USA
O007828,C0739,2023-01-31,Electronics,2,81.72,163.44,Email,USA
O007812,C0346,2023-11-13,Electronics,3,90.9,272.7,Organic Search,France
O007691,C0644,2023-10-11,Home & Garden,2,36.72,73.44,Organic Search,Canada
O008878,C0068,2024-07-31,Toys,1,92.16,92.16,Google Ads,USA
O026519,C0347,2024-07-24,Fashion,1,124.31,124.31,Google Ads,USA
O019344,C0063,2023-01-01,Electronics,5,98.99,494.95,Google Ads,USA
O025343,C0204,2024-07-26,Electronics,2,98.77,197.54,Email,Germany
O019643,C0024,2023-09-24,Sports,2,76.77,153.54,Organic Search,Germany
O013927,C0058,2023-10-05,Sports,5,165.71,828.55,Referral,Australia
O004739,C0052,2024-02-20,Fashion,4,186.05,744.2,Organic Search,USA
O007136,C0091,2023-11-14,Books,2,37.57,75.14,Instagram,USA
O020399,C0061,2024-03-12,Beauty,2,55.49,110.98,Email,USA
O020215,C0637,2023-01-22,Fashion,1,81.04,81.04,Direct,Germany
O017891,C0155,2023-04-14,Beauty,1,41.91,41.91,Instagram,Canada
O018252,C0122,2023-12-13,Electronics,3,180.06,540.18,Instagram,USA
O003256,C0069,2024-03-02,Sports,1,181.85,181.85,Email,USA
O009334,C0026,2024-07-26,Home & Garden,1,216.28,216.28,Email,Germany
O022866,C0159,2023-10-09,Electronics,1,113.56,113.56,Google Ads,Germany
O000350,C0525,2023-06-23,Electronics,2,141.41,282.82,Google Ads,USA
O024410,C0073,2024-01-22,Sports,4,111.01,,Instagram,USA
O032686,C0078,2023-07-14,Home & Garden,1,27.91,27.91,Email,USA
O014628,C0455,2023-08-20,Home & Garden,3,68.8,206.4,Email,USA
O004950,C0075,2023-09-16,Electronics,1,173.91,173.91,Direct,USA
O024488,C0054,2023-09-18,Fashion,1,91.34,91.34,Organic Search,USA
O027946,C0570,2024-11-03,Fashion,2,165.63,331.26,Instagram,UK
O014807,C0035,2023-09-15,Fashion,1,142.27,142.27,Facebook,UK
O025579,C0241,2023-05-04,Toys,1,41.41,41.41,Google Ads,Canada
O030188,C0346,2023-10-20,Electronics,3,90.9,272.7,Organic Search,France
O026429,C0293,2024-01-22,Home & Garden,1,130.12,130.12,Email,USA
O003482,C0062,2023-08-01,Fashion,1,176.88,176.88,Email,USA
O007667,C0070,2023-08-05,Fashion,2,178.3,356.6,Email,USA
O011644,C0340,2024-02-28,Beauty,4,115.23,460.92,Email,France
O009572,C0136,2024-06-14,Books,3,14.37,43.11,Google Ads,Australia
O019637,C0604,2023-10-21,Fashion,1,144.76,144.76,Organic Search,USA
O008890,C0253,2023-07-17,Sports,1,32.92,32.92,Email,Canada
O029854,C0532,2024-05-02,Fashion,5,75.03,375.15,Facebook,Canada
O031310,C0486,2024-12-13,Fashion,1,35.56,35.56,Instagram,Canada
O021928,C0146,2023-04-10,Beauty,3,103.5,,Email,USA
O028577,C0057,2024-07-18,Beauty,2,61.37,122.74,Google Ads,UK
O010457,C0272,2023-03-21,Electronics,1,128.07,128.07,Facebook,USA
O026651,C0102,2023-10-15,Electronics,3,147.62,442.86,Instagram,Canada
O030406,C0036,2023-05-11,Sports,1,21.16,21.16,Google Ads,UK
O011499,C0337,2023-02-21,Home & Garden,2,110.53,221.06,Google Ads,USA
O021804,C0211,2023-01-17,Fashion,3,129.65,388.95,Instagram,USA
O007999,C0227,2024-06-12,Home & Garden,1,113.88,113.88,Email,Australia
O022520,C0640,2023-12-14,Home & Garden,1,53.21,53.21,Facebook,USA
O013974,C0043,2023-07-26,Sports,2,151.22,302.44,Google Ads,USA
O014089,C0424,2023-06-16,Toys,1,85.43,85.43,Facebook,Germany
O017244,C0317,2023-04-06,Beauty,1,91.31,91.31,Email,UK
O013720,C0049,2023-01-14,Home & Garden,1,171.92,,Facebook,Australia
O028908,C0743,2023-06-20,Electronics,1,69.19,69.19,Organic Search,USA
O010229,C0735,2023-06-26,Fashion,1,73.78,73.78,Email,UK
O016630,C0767,2023-07-05,Electronics,1,78.46,78.46,Facebook,USA
O002957,C0187,2023-10-27,Fashion,4,98.07,392.28,Organic Search,USA
O015034,C0058,2023-12-20,Fashion,4,188.21,752.84,Organic Search,USA
O001979,C0008,2024-11-21,Fashion,2,155.38,310.76,Organic Search,USA
O018693,C0073,2023-03-25,Fashion,1,127.79,127.79,Google Ads,USA
O018643,C0001,2024-08-30,Electronics,1,253.45,253.45,Organic Search,USA
O009013,C0604,2023-10-18,Sports,1,30.11,30.11,Google Ads,UK
O001851,C0563,2024-03-03,Beauty,1,116.18,116.18,Email,USA
O032300,C0224,2023-07-10,Electronics,1,139.99,139.99,Google Ads,Canada
O007881,C0564,2024-06-06,Electronics,2,106.29,212.58,Google Ads,USA
O030241,C0070,2024-05-01,Beauty,1,33.58,33.58,Google Ads,Canada
O001563,C0208,2023-04-05,Electronics,3,103.79,311.37,Google Ads,France
O019415,C0172,2023-05-16,Fashion,2,165.04,330.08,Instagram,Canada
O012750,C0099,2024-09-30,Home & Garden,5,91.8,459.0,Google Ads,USA
O025897,C0414,2024-12-28,Fashion,1,67.42,67.42,Instagram,Canada
O017584,C0234,2023-08-05,Beauty,1,48.74,48.74,Email,Canada
O023982,C0031,2024-10-29,Home & Garden,5,47.21,236.05,Instagram,USA
O009435,C0592,2023-12-26,Beauty,4,48.34,193.36,Organic Search,France
